Date,Value
Jan-2005 ,62549685
Feb-2005 ,61525505
Mar-2005 ,62179352
Apr-2005 ,63564933
May-2005 ,65327083
Jun-2005 ,66310200
Jul-2005 ,67698349
Aug-2005 ,68261026
Sep-2005 ,68389934
Oct-2005 ,71346958
Nov-2005 ,73765966
Dec-2005 ,81612676
Jan-2006 ,79442282
Feb-2006 ,78072142
Mar-2006 ,77971624
Apr-2006 ,79408075
May-2006 ,81234439
Jun-2006 ,84553661
Jul-2006 ,85662676
Aug-2006 ,85132733
Sep-2006 ,86633370
Oct-2006 ,87971197
Nov-2006 ,93097210
Dec-2006 ,97968870
Jan-2007 ,97488652
Feb-2007 ,98192147
Mar-2007 ,97673262
Apr-2007 ,102023493
May-2007 ,102576457
Jun-2007 ,105795764
Jul-2007 ,107804223
Aug-2007 ,104217903
Sep-2007 ,104528805
Oct-2007 ,105083631
Nov-2007 ,106682706
Dec-2007 ,123142460
Jan-2008 ,116260876
Feb-2008 ,112284489
Mar-2008 ,114573332
Apr-2008 ,117816830
May-2008 ,117343574
Jun-2008 ,122310964
Jul-2008 ,121947594
Aug-2008 ,123070578
Sep-2008 ,127766317
Oct-2008 ,122490441
Nov-2008 ,124421250
Dec-2008 ,143955174
Jan-2009 ,136944770
Feb-2009 ,132234038
Mar-2009 ,128353829
Apr-2009 ,130101710
May-2009 ,133197506
Jun-2009 ,135453088
Jul-2009 ,135847984
Aug-2009 ,135957089
Sep-2009 ,140083991
Oct-2009 ,140863363
Nov-2009 ,142165162
Dec-2009 ,163459240
Jan-2010 ,161013658
Feb-2010 ,158622283
Mar-2010 ,153553579
Apr-2010 ,155721865
May-2010 ,158257558
Jun-2010 ,165720347
Jul-2010 ,170153515
Aug-2010 ,170584405
Sep-2010 ,174636572
Oct-2010 ,180293009
Nov-2010 ,183374827
Dec-2010 ,221533814
Jan-2011 ,203748525
Feb-2011 ,203718264
Mar-2011 ,208359097
Apr-2011 ,212528098
May-2011 ,217949343
Jun-2011 ,223156376
Jul-2011 ,225586995
Aug-2011 ,231345979
Sep-2011 ,232586197
Oct-2011 ,232049510
Nov-2011 ,240370346
Dec-2011 ,287482511
Jan-2012 ,263505224
Feb-2012 ,263993369
Mar-2012 ,263436859
Apr-2012 ,268466377
May-2012 ,284234460
Jun-2012 ,298466952
Jul-2012 ,311843677
Aug-2012 ,312613996
Sep-2012 ,310160278
Oct-2012 ,319519688
Nov-2012 ,331909463
Dec-2012 ,395809119
Jan-2013 ,353141043
Feb-2013 ,354532154
Mar-2013 ,355388003
Apr-2013 ,357694103
May-2013 ,364318849
Jun-2013 ,380394760
Jul-2013 ,394950948
Aug-2013 ,399104447
Sep-2013 ,411937226
Oct-2013 ,411539826
Nov-2013 ,416270048
Dec-2013 ,492095625
Jan-2014 ,475080581
Feb-2014 ,433009894
Mar-2014 ,441396125
Apr-2014 ,428877945
May-2014 ,449949682
Jun-2014 ,479268405
Jul-2014 ,483831945
Aug-2014 ,496728426
Sep-2014 ,506788900
Oct-2014 ,523477920
Nov-2014 ,562601717
Dec-2014 ,632617644
Jan-2015 ,563422298
Feb-2015 ,559784987
Mar-2015 ,582577149
Apr-2015 ,581045766
May-2015 ,603948113
Jun-2015 ,635784948
Jul-2015 ,656349668
Aug-2015 ,665419765
Sep-2015 ,679761075
Oct-2015 ,696029031
Nov-2015 ,760783917
Dec-2015 ,799273498
Jan-2016 ,763269531
Feb-2016 ,742701125
Mar-2016 ,722517228
Apr-2016 ,703295397
May-2016 ,727598974
Jun-2016 ,745409179
Jul-2016 ,746345834
Aug-2016 ,774417585
Sep-2016 ,769201100
Oct-2016 ,795827147
Nov-2016 ,846994881
Dec-2016 ,1022714417
Jan-2017 ,967501434
Feb-2017 ,910792005
Mar-2017 ,929776270
Apr-2017 ,937517153
May-2017 ,943035857
Jun-2017 ,991846150
Jul-2017 ,1008171686
Aug-2017 ,1030414304
Sep-2017 ,1042820079
Oct-2017 ,1053790679
Nov-2017 ,1072843879
Dec-2017 ,1226161510
Jan-2018 ,1166587987
Feb-2018 ,1148598453
Mar-2018 ,1173767812
Apr-2018 ,1165025091
May-2018 ,1253649945
Jun-2018 ,1321782986
Jul-2018 ,1200860813
Aug-2018 ,1357148526
Sep-2018 ,1254196005
Oct-2018 ,1194882168
Nov-2018 ,1241916732
Dec-2018 ,1495411658
Jan-2019 ,1254213881
Feb-2019 ,1268902818
Mar-2019 ,1294123823
Apr-2019 ,1312246761
May-2019 ,1318792678
Jun-2019 ,1349534207
Jul-2019 ,1424576651
Aug-2019 ,1538212087
Sep-2019 ,1551386544
Oct-2019 ,1566249288
Nov-2019 ,1686438001
Dec-2019 ,1942914094
Jan-2020 ,1906231289
Feb-2020 ,1951499760
Mar-2020 ,2172461374
Apr-2020 ,2364034969
May-2020 ,2589630309
Jun-2020 ,2742177134
Jul-2020 ,2811697910
Aug-2020 ,2880947334
Sep-2020 ,2971723060
Oct-2020 ,3035672514
Nov-2020 ,3072953913
Dec-2020 ,3363232442
Jan-2021 ,3292325134
Feb-2021 ,3275719603
Mar-2021 ,3397965524
Apr-2021 ,3523773245
May-2021 ,3678270424
